ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007015,actin filament organization,32/501,448/18842,0.07142857142857142,2.686341602509267,5.97043263500781,4.447598098787312e-7,0.0026151876820869396,0.0026151876820869396,F11R/CORO2B/SRC/FLII/DNM2/CORO7/EPHA1/ARHGAP25/ELMO3/LIMK1/SWAP70/ELMO2/RAC1/MYO5C/GAS2/EFHD2/SMAD3/SYNPO/SVIL/SHROOM3/SH3BP4/LIMA1/MICALL2/HCK/TPM4/EPS8/NF2/CX3CL1/CCL24/TGFBR1/TMOD3/FMN1,32
GO:0051552,flavone metabolic process,5/501,10/18842,0.5,18.80439121756487,9.307611296747504,2.9401537644889453e-6,0.00590722405104087,0.00590722405104087,UGT1A7/UGT1A9/UGT1A10/UGT1A6/UGT1A8,5
GO:0071384,cellular response to corticosteroid stimulus,10/501,60/18842,0.16666666666666666,6.268130405854957,6.7549253855982485,3.693850974760099e-6,0.00590722405104087,0.00590722405104087,UGT1A7/UGT1A9/ZFP36L1/SSTR5/HCN2/UGT1A10/SCNN1A/UGT1A6/UBE2L3/UGT1A8,10
GO:0032233,positive regulation of actin filament bundle assembly,10/501,61/18842,0.16393442622950818,6.1653741696934,6.678311618028412,4.314320242506171e-6,0.00590722405104087,0.00590722405104087,EPHA1/LIMK1/SWAP70/RAC1/SMAD3/SYNPO/LIMA1/NF2/CX3CL1/TGFBR1,10
GO:0043297,apical junction assembly,10/501,62/18842,0.16129032258064516,6.065932650827378,6.603387675338507,5.023149703266046e-6,0.00590722405104087,0.00590722405104087,F11R/PECAM1/TBCD/RAC1/PKN2/MICALL2/ECT2/VCL/CTNNA1/PRKCH,10
GO:0014009,glial cell proliferation,8/501,41/18842,0.1951219512195122,7.338299011732631,6.714806610172157,1.0427750017826728e-5,0.008939893914094357,0.008939893914094357,PRKCI/E2F1/NF2/CX3CL1/SKI/IL34/CHRM1/PRKCH,8
GO:0031589,cell-substrate adhesion,24/501,333/18842,0.07207207207207207,2.710542878207549,5.205038383204569,1.064273085011233e-5,0.008939893914094357,0.008939893914094357,MSLNL/ITGB2/CORO2B/SRC/PKD1/AJAP1/SKAP1/ITGA9/EPHA1/LAMB1/TBCD/CDK6/SNED1/RAC1/TIAM1/SMAD3/DOCK5/MICALL2/LAMB3/DDR1/MSLN/NF2/CX3CL1/VCL,24
GO:0007160,cell-matrix adhesion,19/501,229/18842,0.08296943231441048,3.120379328678887,5.3355899576063806,1.2629933143606274e-5,0.009283000860550611,0.009283000860550611,MSLNL/ITGB2/CORO2B/SRC/PKD1/AJAP1/SKAP1/ITGA9/EPHA1/CDK6/SNED1/RAC1/TIAM1/SMAD3/DDR1/MSLN/NF2/CX3CL1/VCL,19
GO:0014855,striated muscle cell proliferation,9/501,58/18842,0.15517241379310345,5.835845550278752,6.096094784571788,2.0673397439537227e-5,0.011541135294563154,0.011541135294563154,TP73/FGFR2/STAT3/NRG1/PPARD/RUNX1/YAP1/SKI/TGFBR1,9
GO:0007264,small GTPase-mediated signal transduction,30/501,490/18842,0.061224489795918366,2.3025785164365145,4.8285816883394554,2.1665094518641157e-5,0.011541135294563154,0.011541135294563154,F11R/STARD13/GARNL3/DOCK9/SRC/NISCH/RASGRP2/ARHGAP25/LIMK1/SWAP70/RAC1/PSD3/TIAM1/PKP4/ARHGEF16/RIT1/ARHGEF3/DOCK5/SH3BP4/MICALL2/ERBB2/IQSEC3/EPS8/ECT2/OBSCN/RALGPS1/RAB35/SH2D3C/TNK2/RASA3,30
GO:0051017,actin filament bundle assembly,15/501,159/18842,0.09433962264150944,3.547998342936768,5.33253517378546,2.3146937716236073e-5,0.011541135294563154,0.011541135294563154,F11R/SRC/DNM2/EPHA1/LIMK1/SWAP70/RAC1/SMAD3/SYNPO/LIMA1/EPS8/NF2/CX3CL1/TGFBR1/FMN1,15
GO:0038128,ERBB2 signaling pathway,6/501,23/18842,0.2608695652173913,9.81098672220776,6.987945769440769,2.355333733584317e-5,0.011541135294563154,0.011541135294563154,SRC/EGFR/TGFA/NRG1/EGF/ERBB2,6
GO:0061572,actin filament bundle organization,15/501,163/18842,0.09202453987730061,3.46093089893832,5.215257336055508,3.102623278353884e-5,0.014033403751323722,0.014033403751323722,F11R/SRC/DNM2/EPHA1/LIMK1/SWAP70/RAC1/SMAD3/SYNPO/LIMA1/EPS8/NF2/CX3CL1/TGFBR1/FMN1,15
GO:0045216,cell-cell junction organization,16/501,187/18842,0.0855614973262032,3.217863737765111,5.037526793738205,4.171966465170821e-5,0.017433766826845196,0.017433766826845196,F11R/EFNB2/PECAM1/PRKCI/TBCD/PKP3/RAC1/PKN2/PKP4/SMAD3/MICALL2/ECT2/VCL/CTNNA1/TGFBR1/PRKCH,16
GO:0009812,flavonoid metabolic process,5/501,16/18842,0.3125,11.752744510978044,7.111473947637752,4.46379109484429e-5,0.017433766826845196,0.017433766826845196,UGT1A7/UGT1A9/UGT1A10/UGT1A6/UGT1A8,5
GO:0035265,organ growth,12/501,113/18842,0.10619469026548672,3.9938530019606806,5.275598448858594,4.743882129753795e-5,0.017433766826845196,0.017433766826845196,POR/TP73/RARG/FGFR2/PPARA/NRG1/RUNX1/YAP1/SORBS2/PSAP/SKI/TGFBR1,12
GO:0022604,regulation of cell morphogenesis,17/501,211/18842,0.08056872037914692,3.0300914758161404,4.901151019403872,5.195004612825147e-5,0.017968604190242272,0.017968604190242272,F11R/ITGB2/SRC/FMNL1/DVL1/RAC1/GAS2/SHROOM3/GRIP1/HCK/ITSN2/EPS8/NEDD4L/NF2/CCL24/PALMD/PLXNB2,17
GO:0071385,cellular response to glucocorticoid stimulus,8/501,51/18842,0.1568627450980392,5.899416852569371,5.790470664740349,5.50505860766861e-5,0.01798319145171746,0.01798319145171746,UGT1A7/UGT1A9/ZFP36L1/SSTR5/UGT1A10/UGT1A6/UBE2L3/UGT1A8,8
GO:0009611,response to wounding,29/501,496/18842,0.05846774193548387,2.1989005859249247,4.472111761733886,6.777177601771886e-5,0.019329819807925183,0.01932981980792518,F11R/SRC/DGKD/SCARF1/AJAP1/DGKQ/CHMP3/STAT3/SMOC2/RAC1/MCAM/NFE2L2/NRG1/SMAD3/PRRG2/ZFP36L1/ANO6/ERBB2/STK24/DDR1/ITPK1/YAP1/PRKCQ/COL5A1/VCL/CTNNA1/TGFBR1/ANGPTL2/RASA3,29
GO:0010562,positive regulation of phosphorus metabolic process,21/501,305/18842,0.06885245901639345,2.589457151271228,4.625283439428121,7.271343377062769e-5,0.019329819807925183,0.01932981980792518,WDFY2/SRC/CARD14/ATG14/TRAF4/STAT3/EGFR/LTBR/PPARA/RAC1/NRG1/EGF/RPTOR/ERBB2/AGAP2/PRKAR1A/PROM2/ECT2/IL34/TNK2/MST1R,21
GO:0045937,positive regulation of phosphate metabolic process,21/501,305/18842,0.06885245901639345,2.589457151271228,4.625283439428121,7.271343377062769e-5,0.019329819807925183,0.01932981980792518,WDFY2/SRC/CARD14/ATG14/TRAF4/STAT3/EGFR/LTBR/PPARA/RAC1/NRG1/EGF/RPTOR/ERBB2/AGAP2/PRKAR1A/PROM2/ECT2/IL34/TNK2/MST1R,21
GO:0032231,regulation of actin filament bundle assembly,11/501,101/18842,0.10891089108910891,4.096006007786407,5.1561486996057,7.738834682097936e-5,0.019329819807925183,0.01932981980792518,F11R/EPHA1/LIMK1/SWAP70/RAC1/SMAD3/SYNPO/LIMA1/NF2/CX3CL1/TGFBR1,11
GO:0070102,interleukin-6-mediated signaling pathway,6/501,28/18842,0.21428571428571427,8.059024807527802,6.177922931476776,7.851631517011642e-5,0.019329819807925183,0.01932981980792518,SRC/MIR99A/STAT3/MIRLET7C/SPI1/YAP1,6
GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,12/501,119/18842,0.10084033613445378,3.7924822623660246,5.050513281475387,7.889722370581707e-5,0.019329819807925183,0.01932981980792518,EFNB2/PRKCI/AGAP3/CTNND1/NRG1/GRIP1/ERBB2/IQSEC3/EPS8/AP2A2/SCRIB/VAC14,12
GO:0001934,positive regulation of protein phosphorylation,17/501,219/18842,0.0776255707762557,2.9194032027269663,4.7219652121790165,8.252517299254223e-5,0.019409920687845934,0.019409920687845934,WDFY2/CARD14/ATG14/TRAF4/EGFR/LTBR/RAC1/NRG1/EGF/ERBB2/AGAP2/PRKAR1A/PROM2/ECT2/IL34/TNK2/MST1R,17
GO:0055017,cardiac muscle tissue growth,9/501,70/18842,0.12857142857142856,4.8354148845166804,5.313313348619054,9.522837651073646e-5,0.02153626361088963,0.02153626361088963,TP73/FGFR2/PPARA/NRG1/RUNX1/YAP1/SORBS2/SKI/TGFBR1,9
GO:1903829,positive regulation of protein localization,27/501,457/18842,0.05908096280087528,2.2219630760361118,4.370626536679243,1.0110247459160628e-4,0.022017872244394256,0.02201787224439426,EIF2AK3/PECAM1/ATP2C1/LAMB1/PRKCI/EGFR/DVL1/PKP3/RAC1/CTNND1/NUMA1/FBXW7/ARHGEF16/SMAD3/EGF/PPARD/MICALL2/UBE2L3/YAP1/NF2/ECT2/LIMK2/CHRM1/MCU/EXPH5/PRKCH/FRMD4A,27
GO:0008360,regulation of cell shape,12/501,123/18842,0.0975609756097561,3.6691495058663164,4.908439770034853,1.0868323755375097e-4,0.022823479886287704,0.0228234798862877,F11R/ITGB2/FMNL1/RAC1/GAS2/SHROOM3/HCK/EPS8/NF2/CCL24/PALMD/PLXNB2,12
GO:0048488,synaptic vesicle endocytosis,9/501,72/18842,0.125,4.7010978043912175,5.200247405599401,0.00011891839119489685,0.023493854058841294,0.023493854058841294,DGKQ/DNM2/CTBP1/RAC1/STON2/ITSN2/AP2A2/DNM3/SCRIB,9
GO:0002009,morphogenesis of an epithelium,21/501,316/18842,0.06645569620253164,2.49931782005609,4.442278134108504,1.1986660234102701e-4,0.023493854058841294,0.023493854058841294,STARD13/PIK3CD/PKD1/FGFR2/AJAP1/KLHL3/GREB1/DVL1/CTNND1/EGF/KRT14/BRSK2/MTHFD1L/DDR1/YAP1/SKI/COL5A1/VCL/KDM2B/SCRIB/PLXNB2,21
GO:0060038,cardiac muscle cell proliferation,7/501,44/18842,0.1590909090909091,5.983215387407005,5.469397739392761,1.4719206534956843e-4,0.02707525525469891,0.02707525525469891,TP73/FGFR2/NRG1/RUNX1/YAP1/SKI/TGFBR1,7
GO:1902893,regulation of miRNA transcription,9/501,74/18842,0.12162162162162163,4.574041106975239,5.091265414922353,1.4734832791672876e-4,0.02707525525469891,0.02707525525469891,NCOR2/STAT3/EGFR/PPARA/SMAD3/PPARD/SPI1/SMAD1/NFIB,9
GO:0031401,positive regulation of protein modification process,22/501,346/18842,0.06358381502890173,2.391309865817498,4.31700287660984,1.5714067139634263e-4,0.02799961053971196,0.027999610539711957,WDFY2/CARD14/ATG14/TRAF4/EGFR/LTBR/RAC1/HDAC4/FBXW7/NRG1/EGF/ASPSCR1/ERBB2/AGAP2/PRKAR1A/DNAJB2/UBE2L3/PROM2/ECT2/IL34/TNK2/MST1R,22
GO:0061614,miRNA transcription,9/501,75/18842,0.12,4.513053892215568,5.038222570455006,1.6356264579690994e-4,0.02828671639075972,0.02828671639075972,NCOR2/STAT3/EGFR/PPARA/SMAD3/PPARD/SPI1/SMAD1/NFIB,9
GO:0140238,presynaptic endocytosis,9/501,76/18842,0.11842105263157894,4.4536716041601006,4.986103765031351,1.8123716771854538e-4,0.030447844176715623,0.030447844176715623,DGKQ/DNM2/CTBP1/RAC1/STON2/ITSN2/AP2A2/DNM3/SCRIB,9
GO:0050878,regulation of body fluid levels,21/501,327/18842,0.06422018348623854,2.4152429086780565,4.266800505547161,1.9232987517833178e-4,0.031099072605463105,0.03109907260546311,GNAI2/F11R/SRC/DGKD/DGKQ/NCOR2/ANO1/PPARA/NFE2L2/PRRG2/ANO6/PRKAR1A/DDR1/SCNN1A/ITPK1/PRKCQ/VCL/ADCY3/ANGPTL2/CHRM1/RASA3,21
GO:0060419,heart growth,9/501,77/18842,0.11688311688311688,4.395831713196983,4.934879702284656,2.0047314535746421e-4,0.031099072605463105,0.03109907260546311,TP73/FGFR2/PPARA/NRG1/RUNX1/YAP1/SORBS2/SKI/TGFBR1,9
GO:0016049,cell growth,25/501,426/18842,0.05868544600938967,2.2070881710756893,4.164908577008822,2.0098040119176838e-4,0.031099072605463105,0.03109907260546311,RARG/RASGRP2/DNM2/PTCH2/LIMK1/EGFR/PPARA/KIF26A/NRG1/SMAD3/SH3BP4/PPARD/RPTOR/ERBB2/DNAJB2/ITSN2/YAP1/SORBS2/NEDD4L/NF2/PRR5/PRKCQ/SEMA3F/TGFBR1/NRN1L,25
GO:0051056,regulation of small GTPase mediated signal transduction,20/501,307/18842,0.06514657980456026,2.450083546262524,4.233750389259304,2.2498712971849206e-4,0.033047352416477674,0.033047352416477674,F11R/STARD13/GARNL3/DOCK9/SRC/ARHGAP25/SWAP70/RAC1/PSD3/TIAM1/PKP4/ARHGEF16/ARHGEF3/ERBB2/IQSEC3/EPS8/ECT2/OBSCN/RALGPS1/RASA3,20
GO:0072175,epithelial tube formation,8/501,62/18842,0.12903225806451613,4.852746120661902,5.022012332760079,2.264149053020988e-4,0.033047352416477674,0.033047352416477674,PIK3CD/FGFR2/EGF/MTHFD1L/SKI/KDM2B/SCRIB/PLXNB2,8
GO:0032970,regulation of actin filament-based process,23/501,380/18842,0.060526315789473685,2.276321042126274,4.1540496843226515,2.304322192305416e-4,0.033047352416477674,0.033047352416477674,F11R/PDE4D/CORO2B/FLII/EPHA1/LIMK1/SWAP70/RAC1/ARHGEF16/SMAD3/SYNPO/BCAS3/SVIL/LIMA1/ATP2A2/HCK/EPS8/NF2/CX3CL1/ECT2/CCL24/TGFBR1/TMOD3,23
GO:0042327,positive regulation of phosphorylation,17/501,240/18842,0.07083333333333333,2.663955422488357,4.287723983366216,2.4878194042476416e-4,0.033840094846204975,0.033840094846204975,WDFY2/CARD14/ATG14/TRAF4/EGFR/LTBR/RAC1/NRG1/EGF/ERBB2/AGAP2/PRKAR1A/PROM2/ECT2/IL34/TNK2/MST1R,17
GO:0051495,positive regulation of cytoskeleton organization,14/501,175/18842,0.08,3.008702594810379,4.412215677965627,2.518656385307837e-4,0.033840094846204975,0.033840094846204975,MAPK15/EPHA1/LIMK1/SWAP70/RAC1/NUMA1/SMAD3/SYNPO/LIMA1/HCK/NF2/CX3CL1/CCL24/TGFBR1,14
GO:0032956,regulation of actin cytoskeleton organization,21/501,334/18842,0.06287425149700598,2.3646240453225285,4.158778975603993,2.564410496909671e-4,0.033840094846204975,0.033840094846204975,F11R/CORO2B/FLII/EPHA1/LIMK1/SWAP70/RAC1/ARHGEF16/SMAD3/SYNPO/BCAS3/SVIL/LIMA1/HCK/EPS8/NF2/CX3CL1/ECT2/CCL24/TGFBR1/TMOD3,21
GO:0048729,tissue morphogenesis,24/501,408/18842,0.058823529411764705,2.2122813197135143,4.091504520430996,2.589803177005483e-4,0.033840094846204975,0.033840094846204975,STARD13/PIK3CD/PKD1/FGFR2/AJAP1/KLHL3/GREB1/DVL1/CTNND1/NRG1/EGF/KRT14/BRSK2/MIR200C/MTHFD1L/DDR1/YAP1/SKI/COL5A1/VCL/KDM2B/SCRIB/TGFBR1/PLXNB2,24
GO:0099003,vesicle-mediated transport in synapse,17/501,242/18842,0.07024793388429752,2.641939261971924,4.248813134678858,2.742443886913962e-4,0.035055587076204556,0.035055587076204556,EFNB2/DGKQ/DNM2/CTBP1/DVL1/RAC1/STON2/NRG1/BRSK2/IQSEC3/ITSN2/AP2A2/PPFIA3/DNM3/SCRIB/SYT8/VAC14,17
GO:0043087,regulation of GTPase activity,11/501,119/18842,0.09243697478991597,3.476442073835522,4.478919616883626,3.34647790159117e-4,0.040375430861389734,0.04037543086138974,ADAP1/DOCK9/EVI5L/RASGRP2/ARHGEF16/SH3BP4/RGS10/PROM2/ECT2/SCRIB/PLXNB2,11
GO:0044093,positive regulation of molecular function,22/501,366/18842,0.060109289617486336,2.260637195554247,4.02518657173963,3.444173425090085e-4,0.040375430861389734,0.04037543086138974,DOCK9/CARD14/FGFR2/EVI5L/IDE/RASGRP2/GCH1/TRAF4/LTBR/ARHGEF16/NRG1/EGF/BCAS3/ERBB2/AGAP2/PRKAR1A/DNAJB2/RGS10/SKI/ECT2/SCRIB/MST1R,22
GO:1902905,positive regulation of supramolecular fiber organization,13/501,160/18842,0.08125,3.0557135728542915,4.315888766393179,3.5712133702744936e-4,0.040375430861389734,0.04037543086138974,EPHA1/LIMK1/SWAP70/RAC1/NUMA1/SMAD3/SYNPO/LIMA1/HCK/NF2/CX3CL1/CCL24/TGFBR1,13
GO:0006898,receptor-mediated endocytosis,18/501,271/18842,0.06642066420664207,2.4980003093444108,4.105237012074382,3.624783326620874e-4,0.040375430861389734,0.04037543086138974,ITGB2/DGKD/SCARF1/EFNB2/RAMP1/ARHGEF37/DNM2/RAC1/STON2/NRG1/EGF/IQSEC3/ITSN2/NEDD4L/AP2A2/TNK2/PLXNB2/VAC14,18
GO:0150105,protein localization to cell-cell junction,5/501,24/18842,0.20833333333333334,7.835163007318696,5.537670325208159,3.643030864639633e-4,0.040375430861389734,0.04037543086138974,F11R/PECAM1/CTNND1/VCL/SCRIB,5
GO:0042060,wound healing,23/501,394/18842,0.0583756345177665,2.19543653809133,3.963321689411095,3.8518225907365877e-4,0.040375430861389734,0.04037543086138974,F11R/SRC/DGKD/AJAP1/DGKQ/CHMP3/SMOC2/MCAM/NFE2L2/NRG1/SMAD3/PRRG2/ANO6/ERBB2/DDR1/ITPK1/YAP1/PRKCQ/COL5A1/VCL/TGFBR1/ANGPTL2/RASA3,23
GO:0036465,synaptic vesicle recycling,9/501,84/18842,0.10714285714285714,4.029512403763901,4.599159216718696,3.8836401493415047e-4,0.040375430861389734,0.04037543086138974,DGKQ/DNM2/CTBP1/RAC1/STON2/ITSN2/AP2A2/DNM3/SCRIB,9
GO:0060043,regulation of cardiac muscle cell proliferation,6/501,37/18842,0.16216216216216217,6.098721475966986,5.1307967878504686,3.956693951534477e-4,0.040375430861389734,0.04037543086138974,TP73/FGFR2/NRG1/RUNX1/YAP1/TGFBR1,6
GO:0071383,cellular response to steroid hormone stimulus,15/501,205/18842,0.07317073170731707,2.751862129399737,4.168196500559009,4.024441837755192e-4,0.040375430861389734,0.04037543086138974,SRC/NCOR2/PPARA/UGT1A7/UGT1A9/PPARD/ZFP36L1/SCGB2A1/SSTR5/HCN2/UGT1A10/SCNN1A/UGT1A6/UBE2L3/UGT1A8,15
GO:0010586,miRNA metabolic process,10/501,103/18842,0.0970873786407767,3.6513381004980334,4.459332459955041,4.1765573315357676e-4,0.040375430861389734,0.04037543086138974,NCOR2/STAT3/EGFR/PPARA/SMAD3/PPARD/SPI1/PARN/SMAD1/NFIB,10
GO:0030038,contractile actin filament bundle assembly,10/501,103/18842,0.0970873786407767,3.6513381004980334,4.459332459955041,4.1765573315357676e-4,0.040375430861389734,0.04037543086138974,F11R/SRC/DNM2/EPHA1/LIMK1/RAC1/SMAD3/SYNPO/NF2/TGFBR1,10
GO:0043149,stress fiber assembly,10/501,103/18842,0.0970873786407767,3.6513381004980334,4.459332459955041,4.1765573315357676e-4,0.040375430861389734,0.04037543086138974,F11R/SRC/DNM2/EPHA1/LIMK1/RAC1/SMAD3/SYNPO/NF2/TGFBR1,10
