sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
1,9,-0.0322003072151814,-0.3033375,0.2711372,0.02876198,0.02690097,-0.01433637,-0.02780367,-0.006980012
2,3,-0.30007534398114,-0.03369245,-0.2663829,0.01302127,0.02451128,0.00123062,-0.04509913,-0.05166119
3,9,0.512540707230096,-0.1694268,0.6819675,0.02701097,-0.03553376,0.005226504,-0.004027279,0.020975
4,3,-0.46797219738415,-0.1579232,-0.310049,0.02588746,0.02133275,0.009355239,-0.05457221,0.01512137
5,3,-0.369534204709514,-0.0778934,-0.2916408,0.02565901,0.02401285,0.02975043,-0.03183781,0.01169757
6,9,0.161194657591076,-0.131979,0.2931736,0.02320105,-0.03507485,-0.001366498,-0.01487718,-0.006141989
7,72,-0.425492461842602,-0.333084,-0.09240851,0.01416082,0.03770303,-0.04092211,0.02761864,-0.04789787
8,9,0.14443746446567,-0.1422891,0.2867265,0.02437898,0.02374638,0.01816841,-0.01432222,0.01470793
9,72,-0.92766460122101,-0.3145384,-0.6131262,0.01539878,-0.02744491,-0.04900352,0.03248566,-0.0404273
10,48,0.582558571734922,0.2281431,0.3544154,-0.02688538,-0.02768514,0.01077916,0.03648501,0.04046233
11,9,0.601086301946217,0.00554937,0.5955369,0.0228571,0.02527953,0.05463675,0.01654032,0.02470469
12,72,-0.231331781949651,-0.3045864,0.07325466,0.01749336,-0.02841284,-0.04030247,0.03641018,-0.02858467
13,3,-0.635768803103199,-0.1970849,-0.4386839,0.0248673,0.02428848,0.001942072,-0.04072076,0.01081055
14,9,-0.427872833443003,-0.008271678,-0.4196011,0.01708552,-0.03423151,0.02258477,0.001937506,0.01756168
15,48,0.961372382339205,0.8428226,0.1185498,-0.09070973,-0.02694989,0.009353828,-0.03679445,0.006023654
16,48,1.42561378121764,0.267797,1.157817,-0.03108969,-0.02946305,-0.00332368,-0.004003981,0.008184684
17,3,-0.751178084027822,-0.1863954,-0.5647827,0.02346389,0.02577535,-0.00126844,-0.05247764,0.005290712
18,48,-1.09207191854143,0.2732334,-1.365305,-0.02121644,0.03520959,0.03954894,0.04523274,0.005421937
19,48,1.10043966232689,0.3162028,0.7842368,-0.03732388,0.02798855,0.009303377,-0.01046337,0.006824239
20,9,-0.0159815034645739,0.06972272,-0.08570422,0.002763965,-0.03355752,0.006214826,-0.01540766,-0.006438265
21,9,-0.219848491047857,-0.191119,-0.02872951,0.02611203,-0.03468495,-0.00457887,-0.01014812,0.008041663
22,3,-0.472248136641972,-0.20157,-0.2706781,0.02618821,-0.03593025,-0.009443557,-0.0325842,0.01580989
23,72,0.754599965126803,-0.2532591,1.007859,-0.003961715,0.0377931,-0.05329568,0.01156981,-0.0270982
24,48,-0.00595028334365263,0.2595533,-0.2655036,-0.01505384,0.04346931,0.05399494,0.06755834,0.008103963
25,72,0.641223457136872,-0.3113653,0.9525887,0.01826013,-0.02916442,-0.0463633,0.01883639,-0.03961301
26,48,1.70337478402372,-0.1031591,1.806534,0.01063544,0.03708185,0.01730444,0.06062964,-0.0005014807
27,9,-0.331428410459231,-0.1730478,-0.1583806,0.02487772,-0.0349861,-0.01410753,-0.02762338,-0.02727714
28,9,0.61339981279758,-0.2026386,0.8160384,0.02550883,-0.03460091,-0.004693124,0.005937451,0.009079617
29,72,0.0119861074042751,0.07868125,-0.06669515,-0.03242729,0.0347678,-0.03467852,0.00901158,-0.03134945
30,72,-1.54561972421119,0.2416396,-1.787259,-0.04718178,0.03703836,-0.02083666,-0.007260774,0.002210779
31,48,1.72901419712679,0.5765501,1.152464,-0.06571544,0.03072665,0.02326323,-0.006889818,0.03606873
32,48,1.1227677252661,0.5579329,0.5648349,-0.05740924,-0.02816965,0.0165214,0.001826405,0.02014513
33,48,0.262654573547305,0.2685405,-0.005885898,-0.01648329,-0.02876775,0.0261489,0.03343988,-0.003120764
34,9,0.163430356088452,-0.1346627,0.298093,0.02419826,0.02697755,0.02738957,0.02168123,0.01621072
35,48,1.40420870907793,-0.1586925,1.562901,0.00286474,0.03105874,-0.01635401,0.01750375,0.002130964
36,3,-0.387895238776875,-0.1096019,-0.2782933,0.02528221,0.0227568,0.01930348,-0.04909606,0.01317192
37,72,-0.779661732907853,-0.503962,-0.2756998,0.01325097,0.03746141,-0.06106663,0.0442136,0.01394533
38,72,-1.52465580983482,-0.3452094,-1.179446,0.01008178,0.0353047,-0.04335787,0.01508947,-0.003122863
39,3,-0.0454903793967148,0.003101236,-0.04859161,0.01382651,-0.03572394,-0.006394728,-0.04812539,-0.05482459
40,72,-0.411844806182344,-0.3357078,-0.07613705,0.01883574,0.03227237,-0.0331943,0.02080864,-0.03403137
41,72,-0.0375765737414388,-0.359572,0.3219954,0.01864522,0.03138761,-0.03047057,0.01142136,0.01104969
42,9,0.0733743320911706,-0.03738542,0.1107598,0.0275217,-0.03622542,0.03683379,0.007230343,0.02759665
43,48,0.794395292356876,1.048354,-0.2539585,-0.1140919,-0.02653841,0.01642054,-0.0488434,0.03329524
44,3,0.126564108333196,-0.008208208,0.1347723,0.02494653,-0.03725528,0.008922743,-0.04831478,-0.05767006
45,72,1.11615795557183,0.1328567,0.9833013,-0.01592203,-0.02741034,-0.01383394,0.02569938,-0.05607898
46,72,0.490383074873987,0.2912231,0.19916,-0.03114283,-0.02803597,0.01082118,0.0266251,0.02283673
47,48,0.840106352945846,-0.2040625,1.044169,0.01750061,0.0302509,-0.002542344,0.02673755,-0.01125436
48,72,0.853220615095265,0.2014821,0.6517385,-0.03958839,-0.02802419,-0.04190239,-0.02242976,-0.02541418
49,72,0.762642364773559,-0.1546423,0.9172847,-0.007967539,0.03648863,-0.03950782,0.01250163,-0.02587606
50,9,-0.480883638635768,-0.2418294,-0.2390542,0.02078142,0.02909486,0.009677121,0.008825109,0.0709063
51,48,1.40323979692367,0.589843,0.8133968,-0.06648347,-0.02727385,0.005054522,-0.0130269,0.01911734
52,48,0.0270191962519013,0.2851202,-0.258101,-0.04098385,0.02988686,-0.0006544106,-0.01941493,0.02417679
53,48,-0.376234189233527,0.2891254,-0.6653596,-0.03325826,-0.02900101,0.004600091,0.01063815,0.02750974
54,9,0.707856777456997,-0.2960817,1.003939,0.02819727,0.02685353,0.007085876,0.001664577,0.06223594
55,3,0.207701243509356,-0.1404646,0.3481658,0.02289054,0.02104727,-0.003508259,-0.05602541,-0.03495909
56,9,-0.269926250656232,-0.1054219,-0.1645044,0.02162767,0.02707023,0.02763547,-0.001945387,0.02954529
57,9,-0.0487093402975647,-0.07341982,0.02471048,0.0175697,-0.03474034,0.0001956362,-0.02080132,-0.006371648
58,3,-0.345811313416086,-0.1433447,-0.2024666,0.02284392,-0.03656751,-0.009525772,-0.04850355,0.0007132635
59,3,-0.411707775555858,0.5103046,-0.9220123,-0.03914307,-0.03258041,0.009716257,-0.05868444,-0.04828043
60,9,-0.159310171971897,-0.1332896,-0.02602061,0.02658258,-0.03473595,0.01383924,0.001141682,0.02402288
61,72,0.576859114313018,0.5906433,-0.01378417,-0.08002657,-0.02513899,-0.02900317,-0.03459663,-0.01659267
62,3,-0.571900054215651,-0.04801945,-0.5238806,0.0246347,-0.0378345,0.01597231,-0.03924366,0.006704788
63,9,-0.15661386310713,-0.259261,0.1026471,0.02550393,0.02827461,0.001671719,-0.01496171,0.03635846
64,9,-0.21410201423762,-0.09814958,-0.1159524,0.01916844,-0.03418115,0.001844988,-0.0159413,0.007265427
65,9,-0.119112121752555,-0.2058688,0.08675668,0.0254588,0.02393711,0.01009066,-0.01698177,0.03151067
66,9,-0.35080692746566,-0.1972921,-0.1535148,0.02152753,0.02907608,-0.0004459799,-0.0199252,0.002383579
67,72,-0.311615085439389,-0.3669357,0.05532064,0.01605871,-0.02761768,-0.05226497,0.02871591,-0.007770367
68,9,-0.319938235275128,-0.1326752,-0.1872631,0.02259023,0.02628083,0.01184848,-0.02661949,-0.001665466
69,9,-0.286692476813423,0.2488806,-0.5355731,0.02179609,-0.03410889,0.0704274,0.02701973,-0.06410943
70,72,-1.71569217324512,-0.3419193,-1.373773,0.008799382,0.03857727,-0.03646087,0.03424091,0.01462259
71,72,-0.471261745050827,-0.3850983,-0.08616347,0.01044548,0.03482286,-0.04417379,0.03529479,0.01106265
72,9,-0.291513345732239,-0.2675806,-0.02393278,0.02705844,-0.03482038,-0.00749311,0.004525332,0.04683268
73,48,1.68554457084266,0.3688442,1.3167,-0.02663502,0.03430415,0.0420411,0.02685331,-0.01483171
