iter,q_current,q_best,obj_best,q_accepted
1,10,10,-404537600,0
2,10,10,-404537504,0
3,10,10,-404537504,0
4,9,10,-404537504,1
5,9,9,-400017024,0
6,9,9,-400017024,0
7,9,9,-400017024,0
8,9,9,-400016960,0
9,9,9,-400016896,0
10,9,9,-400016896,0
11,9,9,-400016736,0
12,9,9,-400016736,0
13,9,9,-400016736,0
14,9,9,-400016736,0
15,9,9,-400016544,0
16,9,9,-400016544,0
17,9,9,-400016544,0
18,8,9,-400016384,1
19,8,8,-396102080,0
20,8,8,-396102080,0
21,7,8,-396101856,1
22,7,7,-392965312,0
23,7,7,-392965312,0
24,7,7,-392965312,0
25,7,7,-392965312,0
26,7,7,-392965312,0
27,7,7,-392965312,0
28,7,7,-392965312,0
29,7,7,-392965312,0
30,6,7,-392965312,1
31,6,6,-392027360,0
32,6,6,-392027360,0
33,6,6,-392027360,0
34,6,6,-392027360,0
35,6,6,-392027360,0
36,6,6,-392027360,0
37,6,6,-392027360,0
38,6,6,-392027360,0
39,6,6,-392027360,0
40,6,6,-392027360,0
41,6,6,-392027360,0
42,5,6,-392027360,1
43,5,5,-391195872,0
44,5,5,-391195872,0
45,5,5,-391195648,0
46,5,5,-391195648,0
47,5,5,-391195648,0
48,5,5,-391195648,0
49,5,5,-391195648,0
50,5,5,-391195648,0
51,5,5,-391195648,0
52,5,5,-391195648,0
53,5,5,-391195648,0
54,5,5,-391195648,0
55,5,5,-391195648,0
56,5,5,-391195648,0
57,5,5,-391195648,0
58,5,5,-391195648,0
59,5,5,-391195648,0
60,5,5,-391195648,0
61,5,5,-391195648,0
62,5,5,-391195648,0
63,5,5,-391195648,0
64,5,5,-391195648,0
65,5,5,-391195648,0
66,5,5,-391195584,0
67,5,5,-391195584,0
68,5,5,-391195584,0
69,5,5,-391195584,0
70,5,5,-391195584,0
71,5,5,-390883808,0
72,5,5,-390883808,0
73,5,5,-390883808,0
74,5,5,-390883808,0
75,5,5,-390883808,0
76,5,5,-390883808,0
77,5,5,-390883808,0
78,5,5,-390883808,0
79,5,5,-390883808,0
80,5,5,-390883808,0
81,5,5,-390883808,0
82,5,5,-390883808,0
83,5,5,-390883808,0
84,5,5,-390883808,0
85,5,5,-390883808,0
86,5,5,-390883808,0
87,5,5,-390883808,0
88,5,5,-390883808,0
89,5,5,-390883808,0
90,5,5,-390883808,0
91,5,5,-390883808,0
92,5,5,-390883808,0
93,5,5,-390883808,0
94,5,5,-390883808,0
95,5,5,-390883808,0
96,5,5,-390883808,0
97,5,5,-390883808,0
98,5,5,-390883808,0
99,5,5,-390883808,0
100,5,5,-390883808,0
101,5,5,-390883808,0
102,5,5,-390883808,0
103,5,5,-390883808,0
104,5,5,-390883808,0
105,5,5,-390883808,0
106,5,5,-390883808,0
107,5,5,-390883808,0
108,5,5,-390883808,0
109,5,5,-390883808,0
110,5,5,-390883808,0
111,5,5,-390883808,0
112,5,5,-390883808,0
113,5,5,-390883808,0
114,5,5,-390883808,0
115,5,5,-390883808,0
116,5,5,-390883808,0
117,5,5,-390883808,0
118,5,5,-390883808,0
119,5,5,-390883808,0
120,5,5,-390883808,0
121,5,5,-390883808,0
122,5,5,-390883808,0
123,5,5,-390883808,0
124,5,5,-390883808,0
125,5,5,-390883808,0
126,5,5,-390883808,0
127,5,5,-390883808,0
128,5,5,-390883808,0
129,5,5,-390883808,0
130,5,5,-390883808,0
131,5,5,-390883808,0
132,5,5,-390883808,0
133,5,5,-390883808,0
134,5,5,-390883808,0
135,5,5,-390883808,0
136,5,5,-390883808,0
