boot_iter,selected_rank,Num_iters_completed
1,6,60
2,6,60
3,5,60
4,6,60
5,5,60
6,5,60
7,5,60
8,6,60
9,5,60
10,6,60
11,5,60
12,6,60
13,5,60
14,5,60
15,5,60
16,6,60
17,6,60
18,6,60
19,5,60
20,6,60
21,6,60
22,5,60
23,5,60
24,5,60
25,5,60
26,5,60
27,5,60
28,6,60
29,6,60
30,5,60
31,5,60
32,5,60
33,5,60
34,5,60
35,5,60
36,5,60
37,6,60
38,5,60
39,5,60
40,6,60
41,6,60
42,6,60
43,5,60
44,6,60
45,6,60
46,5,60
47,5,60
48,5,60
49,5,60
50,6,60
51,6,60
52,5,60
53,6,60
54,5,60
55,5,60
56,5,60
57,5,60
58,5,60
59,5,60
60,5,60
61,5,60
62,5,60
63,5,60
64,6,60
65,5,60
66,5,60
67,5,60
68,6,60
69,5,60
70,5,60
71,6,60
72,6,60
73,6,60
74,5,60
75,5,60
76,7,60
77,5,60
78,6,60
79,6,60
80,6,60
81,6,60
82,5,60
83,6,60
84,5,60
85,5,60
86,6,60
87,5,60
88,6,60
89,5,60
90,6,60
91,5,60
92,6,60
93,5,60
94,5,60
95,5,60
96,5,60
97,6,60
98,5,60
99,6,60
100,6,60
101,7,60
102,5,60
103,6,60
104,5,60
105,6,60
106,5,60
107,6,60
108,5,60
109,5,60
110,5,60
111,6,60
112,6,60
113,5,60
114,5,60
115,6,60
116,6,60
117,5,60
118,5,60
119,5,60
120,5,60
121,5,60
122,6,60
123,5,60
124,5,60
125,5,60
126,5,60
127,6,60
128,6,60
129,5,60
130,5,60
131,6,60
132,5,60
133,5,60
134,5,60
135,5,60
136,5,60
137,5,60
138,6,60
139,6,60
140,5,60
141,5,60
142,6,60
143,5,60
144,5,60
145,6,60
146,5,60
147,5,60
148,6,60
149,6,60
150,6,60
151,5,60
152,6,60
153,6,60
154,5,60
155,6,60
156,5,60
157,6,60
158,6,60
159,5,60
160,5,60
161,5,60
162,6,60
163,5,60
164,5,60
165,6,60
166,6,60
167,5,60
168,6,60
169,5,60
170,6,60
171,5,60
172,5,60
173,5,60
174,6,60
175,6,60
176,5,60
177,6,60
178,6,60
179,5,60
180,5,60
181,5,60
182,6,60
183,5,60
184,5,60
185,6,60
186,5,60
187,5,60
188,5,60
189,5,60
190,5,60
191,6,60
192,5,60
193,6,60
194,6,60
195,5,60
196,6,60
197,5,60
198,6,60
199,5,60
200,6,60
201,5,60
202,5,60
203,5,60
204,5,60
205,6,60
206,5,60
207,5,60
208,5,60
209,5,60
