ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0008380,RNA splicing,21/323,492/18842,0.042682926829268296,2.4898814468020842,4.4224272684262544,1.2657944915804223e-4,0.5807981102814084,0.5807981102814084,RBMY1B/HNRNPH2/MBNL3/RBMX/RNF113A/THOC2/NONO/PQBP1/RBM10/RBMY1D/RBMY1F/SRPK3/FMR1/RBM41/RBMY1E/RBMY1J/HTATSF1/AFF2/NKAP/FAM50A/RBM3,21
GO:0007416,synapse assembly,14/323,264/18842,0.05303030303030303,3.093489070269256,4.523948497878404,1.9755037764673753e-4,0.5807981102814084,0.5807981102814084,NLGN3/ARHGEF9/PLXNA3/GPC4/ARMCX5-GPRASP2/RAC1/GABRE/SRPX2/IL1RAPL2/GABRB3/SLITRK4/FGF13/NLGN4Y/PDZD11,14
GO:0008406,gonad development,9/323,135/18842,0.06666666666666667,3.8889576883384933,4.448877652117817,5.403280366256169e-4,0.6209477817682874,0.6209477817682874,RBMY1B/TSPY8/RAC1/TSPY1/FLNA/TSPY2/AR/TSPY3/TSPY4,9
GO:0160020,positive regulation of ferroptosis,3/323,10/18842,0.3,17.50030959752322,6.8926835550074586,5.477114765688451e-4,0.6209477817682874,0.6209477817682874,ACSL4/TMEM164/LAMP2,3
GO:0007498,mesoderm development,7/323,84/18842,0.08333333333333333,4.861197110423117,4.683956141574692,5.970152107725648e-4,0.6209477817682874,0.6209477817682874,TSPY8/TSPY1/TSPY2/TSPY3/RPS6KA6/TSPY4/ZIC3,7
GO:0045137,development of primary sexual characteristics,9/323,138/18842,0.06521739130434782,3.804415129896352,4.366757430067367,6.336201854778442e-4,0.6209477817682874,0.6209477817682874,RBMY1B/TSPY8/RAC1/TSPY1/FLNA/TSPY2/AR/TSPY3/TSPY4,9
GO:0031397,negative regulation of protein ubiquitination,6/323,70/18842,0.08571428571428572,5.000088456435205,4.4280020431887746,0.0012643390622056065,0.8796281439151807,0.8796281439151807,HDAC8/NXN/BEX4/BEX2/GNL3L/BEX1,6
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",15/323,357/18842,0.04201680672268908,2.4510237531545127,3.655471250105215,0.0013463696080334398,0.8796281439151807,0.8796281439151807,RBMY1B/RBMX/RNF113A/PQBP1/RBM10/RBMY1D/RBMY1F/SRPK3/FMR1/RBM41/RBMY1E/RBMY1J/HTATSF1/NKAP/RBM3,15
GO:0000398,"mRNA splicing, via spliceosome",15/323,357/18842,0.04201680672268908,2.4510237531545127,3.655471250105215,0.0013463696080334398,0.8796281439151807,0.8796281439151807,RBMY1B/RBMX/RNF113A/PQBP1/RBM10/RBMY1D/RBMY1F/SRPK3/FMR1/RBM41/RBMY1E/RBMY1J/HTATSF1/NKAP/RBM3,15
GO:0000375,"RNA splicing, via transesterification reactions",15/323,361/18842,0.04155124653739612,2.423865595224823,3.6074833378487083,0.0015020865754517116,0.8832269063656064,0.8832269063656064,RBMY1B/RBMX/RNF113A/PQBP1/RBM10/RBMY1D/RBMY1F/SRPK3/FMR1/RBM41/RBMY1E/RBMY1J/HTATSF1/NKAP/RBM3,15
GO:0031647,regulation of protein stability,15/323,376/18842,0.0398936170212766,2.327168829457875,3.433034359176683,0.0022271097189768773,1,1,RNF128/HCFC1/FLNA/HDAC8/MTMR1/USP9Y/UBL4A/UXT/USP27X/PIM2/VBP1/GNL3L/A1CF/TAF9B/LAMP2,15
GO:0048608,reproductive structure development,9/323,167/18842,0.05389221556886228,3.143768191171836,3.674939748267427,0.002405179009564785,1,1,RBMY1B/TSPY8/RAC1/TSPY1/FLNA/TSPY2/AR/TSPY3/TSPY4,9
GO:0061458,reproductive system development,9/323,168/18842,0.05357142857142857,3.1250552852720035,3.653849599265777,0.0025040347776750286,1,1,RBMY1B/TSPY8/RAC1/TSPY1/FLNA/TSPY2/AR/TSPY3/TSPY4,9
GO:0007548,sex differentiation,9/323,169/18842,0.05325443786982249,3.1065638338798616,3.63291634605123,0.002606087979861436,1,1,RBMY1B/TSPY8/RAC1/TSPY1/FLNA/TSPY2/AR/TSPY3/TSPY4,9
GO:1903321,negative regulation of protein modification by small protein conjugation or removal,6/323,81/18842,0.07407407407407407,4.321064098153881,3.955817483631343,0.0026758744312865837,1,1,HDAC8/NXN/BEX4/BEX2/GNL3L/BEX1,6
GO:0055070,copper ion homeostasis,3/323,17/18842,0.17647058823529413,10.294299763248953,5.063118753978397,0.002839405776327152,1,1,ATP7A/CCDC22/XIAP,3
GO:0031396,regulation of protein ubiquitination,9/323,172/18842,0.05232558139534884,3.052379580963352,3.571035929525145,0.0029321574402859482,1,1,HDAC8/PSMD10/XIAP/NXN/BEX4/BEX2/GNL3L/BEX1/HUWE1,9
GO:1901874,negative regulation of post-translational protein modification,6/323,84/18842,0.07142857142857142,4.166740380362671,3.8415218465101617,0.0032116896238441354,1,1,HDAC8/NXN/BEX4/BEX2/GNL3L/BEX1,6
GO:0071625,vocalization behavior,3/323,18/18842,0.16666666666666666,9.722394220846233,4.889455263914106,0.003364387183899019,1,1,NLGN3/SRPX2/NLGN4Y,3
GO:0030705,cytoskeleton-dependent intracellular transport,10/323,214/18842,0.04672897196261682,2.725904921732589,3.3533980647506527,0.003959504997283927,1,1,F8A3/RPGR/DYNLT3/ARMCX3/F8A1/MECP2/UXT/F8A2/ARMCX1/KIF4A,10
GO:0034329,cell junction assembly,17/323,490/18842,0.03469387755102041,2.023845327604726,3.0327398823556218,0.004895559667895396,1,1,NLGN3/ARHGEF9/PLXNA3/GPC4/ARMCX5-GPRASP2/RAC1/GABRE/SRPX2/IL1RAPL2/GABRB3/SLITRK4/GPM6B/FGF13/NLGN4Y/PDZD11/ARHGAP6/CDH22,17
GO:0051453,regulation of intracellular pH,6/323,92/18842,0.06521739130434782,3.8044151298963524,3.5610662161340647,0.005030056433737547,1,1,SLC9A6/VMA21/SLC9A3/SLC9A7/ATP6AP1/LAMP2,6
GO:0042177,negative regulation of protein catabolic process,7/323,125/18842,0.056,3.2667244582043344,3.357995324932606,0.005808650601298478,1,1,F8A3/QRICH2/FLNA/SNX12/F8A1/F8A2/TIMP1,7
GO:0030641,regulation of cellular pH,6/323,95/18842,0.06315789473684211,3.6842757047417303,3.4639172111904095,0.00587600372484346,1,1,SLC9A6/VMA21/SLC9A3/SLC9A7/ATP6AP1/LAMP2,6
GO:0010508,positive regulation of autophagy,8/323,158/18842,0.05063291139240506,2.9536387506368302,3.25673442790638,0.005989637133766206,1,1,RPGR/SLC25A5/WDR45/UBE2A/MID2/IKBKG/PIM2/HUWE1,8
GO:0043045,epigenetic programming of gene expression,3/323,22/18842,0.13636363636363635,7.954686180692373,4.310459201838976,0.006036339106560257,1,1,MECP2/GABRB3/SUV39H1,3
GO:0007612,learning,6/323,96/18842,0.0625,3.6458978328173375,3.4324075679715262,0.006179748015931226,1,1,NLGN3/ADCY3/MECP2/PGRMC1/FGF13/NLGN4Y,6
GO:0007042,lysosomal lumen acidification,3/323,23/18842,0.13043478260869565,7.608830259792705,4.188270420607213,0.006854769090858364,1,1,VMA21/ATP6AP1/LAMP2,3
GO:1901526,positive regulation of mitophagy,3/323,23/18842,0.13043478260869565,7.608830259792705,4.188270420607213,0.006854769090858364,1,1,SLC25A5/UBE2A/HUWE1,3
GO:0006885,regulation of pH,6/323,100/18842,0.06,3.5000619195046436,3.3104517956904274,0.0075097570093385566,1,1,SLC9A6/VMA21/SLC9A3/SLC9A7/ATP6AP1/LAMP2,6
GO:0099054,presynapse assembly,4/323,46/18842,0.08695652173913043,5.07255350652847,3.652224510037856,0.007853595472839463,1,1,NLGN3/GPC4/IL1RAPL2/NLGN4Y,4
GO:0051963,regulation of synapse assembly,8/323,166/18842,0.04819277108433735,2.8112947144615617,3.095606153623603,0.007985160069234658,1,1,NLGN3/GPC4/ARMCX5-GPRASP2/RAC1/SRPX2/IL1RAPL2/SLITRK4/PDZD11,8
GO:0006091,generation of precursor metabolites and energy,15/323,438/18842,0.03424657534246575,1.997752237160185,2.790282165812171,0.00891872643432681,1,1,PRPS2/ATP7A/NDUFA1/PHKA1/PPP1R3F/PDK3/PGK1/WDR45/COX7B/G6PD/IDH3G/SLC25A14/NDUFB11/HCCS/ABCD1,15
GO:0042176,regulation of protein catabolic process,14/323,401/18842,0.034912718204488775,2.0366112582321287,2.7710243603785534,0.009674829566737986,1,1,RNF128/F8A3/CCDC22/QRICH2/FLNA/SNX12/F8A1/PSMD10/FMR1/GPC3/IKBKG/F8A2/BCAP31/TIMP1,14
GO:0034643,"establishment of mitochondrion localization, microtubule-mediated",3/323,26/18842,0.11538461538461539,6.7308883067397,3.861796958524607,0.00969038290989577,1,1,ARMCX3/UXT/ARMCX1,3
GO:0046856,phosphatidylinositol dephosphorylation,3/323,26/18842,0.11538461538461539,6.7308883067397,3.861796958524607,0.00969038290989577,1,1,MTMR1/MTM1/MTMR8,3
GO:0047497,mitochondrion transport along microtubule,3/323,26/18842,0.11538461538461539,6.7308883067397,3.861796958524607,0.00969038290989577,1,1,ARMCX3/UXT/ARMCX1,3
GO:1903599,positive regulation of autophagy of mitochondrion,3/323,26/18842,0.11538461538461539,6.7308883067397,3.861796958524607,0.00969038290989577,1,1,SLC25A5/UBE2A/HUWE1,3
GO:0006637,acyl-CoA metabolic process,6/323,106/18842,0.05660377358490566,3.3019452070798527,3.1387299091523744,0.00987520107520694,1,1,ACOT9/PDK3/PGK1/ACSL4/ACOT7/ABCD1,6
GO:0071453,cellular response to oxygen levels,8/323,173/18842,0.046242774566473986,2.6975429052058915,2.9622912356732587,0.010108592168332414,1,1,NONO/PDK3/PGK1/SUV39H1/ATP6AP1/IRAK1/E2F1/AIFM1,8
GO:0051646,mitochondrion localization,4/323,50/18842,0.08,4.666749226006192,3.4286580937753413,0.010509364704323483,1,1,ARMCX3/UXT/MTM1/ARMCX1,4
GO:1903320,regulation of protein modification by small protein conjugation or removal,9/323,214/18842,0.04205607476635514,2.45331442955933,2.8237602976796894,0.011783874294174285,1,1,HDAC8/PSMD10/XIAP/NXN/BEX4/BEX2/GNL3L/BEX1/HUWE1,9
GO:0046037,GMP metabolic process,3/323,28/18842,0.10714285714285714,6.250110570544007,3.671566223696822,0.011906886487394916,1,1,CASK/HPRT1/MPP1,3
GO:0010510,regulation of pyruvate decarboxylation to acetyl-CoA,2/323,10/18842,0.2,11.66687306501548,4.4558788502744475,0.012037759231563168,1,1,PDK3/PGK1,2
GO:0050812,regulation of acyl-CoA biosynthetic process,2/323,10/18842,0.2,11.66687306501548,4.4558788502744475,0.012037759231563168,1,1,PDK3/PGK1,2
GO:1990700,nucleolar chromatin organization,2/323,10/18842,0.2,11.66687306501548,4.4558788502744475,0.012037759231563168,1,1,PHF8/SUV39H1,2
GO:0051965,positive regulation of synapse assembly,4/323,53/18842,0.07547169811320754,4.402593609439804,3.2759755645107704,0.012841023970579282,1,1,NLGN3/ARMCX5-GPRASP2/SRPX2/SLITRK4,4
GO:0070536,protein K63-linked deubiquitination,3/323,29/18842,0.10344827586206896,6.034589516387317,3.583261541998834,0.013115161025034783,1,1,USP27X/OTUD5/BRCC3,3
GO:1904862,inhibitory synapse assembly,3/323,29/18842,0.10344827586206896,6.034589516387317,3.583261541998834,0.013115161025034783,1,1,GABRE/GABRB3/FGF13,3
GO:0000422,autophagy of mitochondrion,6/323,113/18842,0.05309734513274336,3.0973999287651717,2.9533005477245924,0.01325447707539558,1,1,ATG4A/FUNDC2/SLC25A5/WDR45/UBE2A/HUWE1,6
GO:0006334,nucleosome assembly,6/323,113/18842,0.05309734513274336,3.0973999287651717,2.9533005477245924,0.01325447707539558,1,1,TSPY8/TSPY1/TSPY2/TSPY3/TSPY4/TSPYL2,6
GO:1901873,regulation of post-translational protein modification,9/323,219/18842,0.0410958904109589,2.397302684592222,2.746832639789418,0.013536183307709747,1,1,HDAC8/PSMD10/XIAP/NXN/BEX4/BEX2/GNL3L/BEX1/HUWE1,9
GO:0051654,establishment of mitochondrion localization,3/323,30/18842,0.1,5.83343653250774,3.4989975042208274,0.014390862834289309,1,1,ARMCX3/UXT/ARMCX1,3
GO:0110075,regulation of ferroptosis,3/323,30/18842,0.1,5.83343653250774,3.4989975042208274,0.014390862834289309,1,1,ACSL4/TMEM164/LAMP2,3
GO:0046710,GDP metabolic process,2/323,11/18842,0.18181818181818182,10.606248240923165,4.2087964872445145,0.01454758026895459,1,1,CASK/MPP1,2
GO:0071514,genomic imprinting,2/323,11/18842,0.18181818181818182,10.606248240923165,4.2087964872445145,0.01454758026895459,1,1,MECP2/GABRB3,2
GO:0051452,intracellular pH reduction,4/323,55/18842,0.07272727272727272,4.242499296369266,3.180365163242469,0.01456488270629728,1,1,VMA21/SLC9A7/ATP6AP1/LAMP2,4
