rank,CpG_index,importance,importance_scaled,loading_V_factor_01,loading_V_factor_02,loading_V_factor_03,loading_V_factor_04,loading_V_factor_05,importance_component_factor_01,importance_component_factor_02,importance_component_factor_03,importance_component_factor_04,importance_component_factor_05
1,376150,1199.791,5.827806e-05,0.00596803,0.001559396,0.007335212,0.01442797,-0.003979465,481.5598,5.418692,97.13522,614.5956,1.081959
2,17908,1127.173,5.475073e-05,-0.0007870409,0.02210195,-0.001943553,-0.002806046,0.001691715,8.374961,1088.536,6.819365,23.2471,0.1955312
3,82918,1093.243,5.310263e-05,0.0007356095,-0.02178348,0.002407868,0.002473257,-0.0003262102,7.316155,1057.392,10.46687,18.06,0.007270373
4,86287,1045.454,5.078137e-05,-0.0006676532,0.02140018,-0.002306571,-0.001768822,0.001064875,6.026847,1020.508,9.604731,9.237356,0.07747446
5,15856,1029.556,5.000912e-05,-0.0007195688,0.02122919,-0.001763398,-0.00206765,0.0008914271,7.000561,1004.265,5.613737,12.62215,0.05429167
6,51194,997.9951,4.847612e-05,-0.0007156058,0.02081063,-0.002109761,-0.002455583,0.001615643,6.923664,965.0547,8.035593,17.8028,0.1783414
7,84576,971.2424,4.717665e-05,-0.0006224377,0.02065107,-0.001466185,-0.001994921,0.0009411705,5.238176,950.313,3.880867,11.7498,0.0605199
8,1074,960.4308,4.665149e-05,-0.0006829562,0.02047407,-0.002226714,-0.001926423,0.001345832,6.306291,934.0928,8.95118,10.95677,0.1237494
9,141619,944.961,4.590007e-05,-0.0007093153,0.02024031,-0.001979503,-0.002470698,0.001610377,6.802474,912.8847,7.07398,18.02264,0.1771807
10,324566,938.5446,4.55884e-05,-0.0006549925,0.0202932,-0.001260447,-0.002032131,0.0005721953,5.80044,917.6615,2.86814,12.19221,0.02236919
11,527105,938.4726,4.558491e-05,0.0005824959,-0.02032565,0.0007546973,0.002021464,0.001683847,4.587478,920.5986,1.028246,12.06455,0.1937166
12,55084,935.7525,4.545278e-05,-0.0006902202,0.02023809,-0.002085719,-0.0017184,0.0009028436,6.441152,912.684,7.853493,8.718215,0.0556912
13,191066,935.0403,4.541819e-05,0.0006660565,-0.02007137,0.002431832,0.002639565,-0.001127787,5.998054,897.7086,10.67625,20.57046,0.0868992
14,123078,931.2827,4.523567e-05,-0.0006736938,0.02019579,-0.001972313,-0.001764144,0.0009516628,6.136396,908.8731,7.022685,9.18856,0.06187679
15,141742,930.9699,4.522047e-05,-0.0006146752,0.0202311,-0.001741083,-0.001675323,0.0008445749,5.108337,912.0537,5.472554,8.2866,0.04873465
16,101305,920.6841,4.472086e-05,-0.0006437502,0.02007186,-0.002244893,-0.001658174,0.001281974,5.603032,897.7531,9.097929,8.117818,0.1122845
17,91805,920.5975,4.471665e-05,-0.0006953356,0.02003428,-0.001598623,-0.002252861,0.0009976946,6.536981,894.3942,4.61364,14.9847,0.06800749
18,90133,909.1959,4.416283e-05,-0.0006351759,0.01992435,-0.003011912,-0.0009541292,0.001013047,5.454768,884.6061,16.37706,2.687779,0.07011658
19,100465,907.7853,4.409431e-05,0.0007715142,0.001922054,0.007087798,0.01646665,0.001952119,8.04778,8.23214,90.69306,800.5519,0.26036
20,2417,907.6556,4.408802e-05,-0.000653582,0.01989784,-0.001890916,-0.00210475,0.001166105,5.775484,882.2531,6.454997,13.07917,0.09290449
21,124115,907.136,4.406278e-05,-0.0006245142,0.01988389,-0.002009678,-0.002128687,0.001608379,5.273183,881.0165,7.291287,13.37836,0.1767414
22,2057,905.6187,4.398908e-05,-0.0006466028,0.01992621,-0.002066652,-0.001584803,0.001004147,5.652798,884.7711,7.71056,7.415315,0.06889001
23,131282,901.4515,4.378666e-05,-0.0007495126,0.01973234,-0.002758483,-0.00202857,0.002201545,7.595321,867.6385,13.737,12.14952,0.3311438
24,2320,893.4844,4.339967e-05,-0.0007036885,0.01966297,-0.002988611,-0.001727803,0.002102927,6.694979,861.5487,16.12464,8.81389,0.3021412
25,571147,893.2529,4.338843e-05,-0.0007036683,0.01970901,-0.003101918,-0.001051816,0.002209681,6.694595,865.5879,17.37049,3.266318,0.333596
26,55970,893.1034,4.338117e-05,-0.0006664275,0.01977345,-0.002186096,-0.001555839,0.0009930393,6.004739,871.257,8.627599,7.146745,0.06737433
27,50251,872.8144,4.239566e-05,-0.0006654655,0.01953113,-0.001779485,-0.001930667,0.001021349,5.987416,850.034,5.71663,11.00511,0.07127045
28,71781,872.0491,4.235848e-05,-0.0005628893,0.01960677,-0.002219315,-0.0008699966,0.0003388903,4.28385,856.6309,8.891794,2.234675,0.007846569
29,458515,871.6537,4.233928e-05,0.0005826949,-0.01954085,-0.0002202146,0.002305724,0.002417944,4.590613,850.8801,0.08754747,15.69618,0.3994424
30,35408,868.4636,4.218432e-05,-0.0006794526,0.01947533,-0.001907192,-0.001874444,0.001195841,6.241753,845.184,6.566593,10.37347,0.09770316
31,65638,861.8436,4.186277e-05,0.0004366828,-0.0194705,0.001024785,0.002063985,0.0006351375,2.578223,844.7645,1.895905,12.57744,0.02756114
32,121702,858.8306,4.171642e-05,-0.0006439161,0.01939149,-0.002184836,-0.00149823,0.0009119005,5.60592,837.9229,8.617656,6.627297,0.05681415
33,12773,849.3326,4.125506e-05,-0.0006142998,0.01928428,-0.002135651,-0.00156451,0.001128209,5.102101,828.6829,8.23402,7.226629,0.08696429
34,45345,843.9865,4.099538e-05,-0.0006433488,0.0192057,-0.001891851,-0.001832085,0.001054999,5.596045,821.9431,6.461382,9.909931,0.07604416
35,69494,843.2094,4.095764e-05,-0.0006458596,0.01919555,-0.002401111,-0.001422239,0.001294637,5.63981,821.0748,10.40821,5.972064,0.1145137
36,70984,841.8436,4.08913e-05,-0.0006093337,0.01916314,-0.00188002,-0.002017285,0.00134426,5.019941,818.3047,6.380816,12.01473,0.1234606
37,566354,840.6605,4.083383e-05,0.005088667,0.001610955,0.005475855,0.01207369,-0.001931532,350.1035,5.782933,54.13216,430.3871,0.2548974
38,30471,840.0098,4.080222e-05,-0.0006409601,0.01915671,-0.001881119,-0.001861985,0.001050312,5.554568,817.7556,6.388278,10.23603,0.07536999
39,690025,835.3369,4.057524e-05,-0.0006974926,0.01908095,-0.002553369,-0.001373082,0.0013387,6.5776,811.3004,11.77006,5.566374,0.1224414
40,298141,835.0189,4.05598e-05,-0.0006277359,0.01902354,-0.002808682,-0.001706047,0.002510956,5.32773,806.4255,14.24152,8.593322,0.4307643
41,133567,828.0952,4.022349e-05,-0.0005609955,0.01907513,-0.002041928,-0.001356791,0.001032129,4.255073,810.8051,7.527181,5.435074,0.07278295
42,76606,825.7438,4.010927e-05,-0.0006735349,0.01895105,-0.00178198,-0.002136149,0.001292986,6.133501,800.2911,5.732674,13.47232,0.1142218
43,24659,819.3774,3.980003e-05,-0.0006225094,0.01894924,-0.002068107,-0.001455742,0.0005620279,5.239382,800.1382,7.721427,6.256742,0.02158128
44,499868,817.4782,3.970779e-05,0.0005701257,-0.01886873,0.001728531,0.002202227,-0.0005074933,4.394702,793.3533,5.393936,14.31869,0.01759633
45,535697,816.0736,3.963956e-05,0.0006215082,-0.01885633,0.001684403,0.002130135,-0.0005611173,5.222542,792.311,5.122043,13.39657,0.02151141
46,75491,813.7607,3.952721e-05,-0.0005316431,0.01896485,-0.001859006,-0.0008699715,0.0003617622,3.821454,801.4568,6.238971,2.234546,0.008941447
47,53674,813.5661,3.951776e-05,-0.0006525731,0.01883465,-0.001770305,-0.001983168,0.0008400124,5.757667,790.4907,5.6578,11.61176,0.04820954
48,71239,812.4602,3.946404e-05,-0.0006432008,0.01884462,-0.001908512,-0.001737406,0.0008691782,5.593472,791.3273,6.575686,8.912135,0.05161539
49,93661,812.3361,3.945801e-05,-0.0006095093,0.01884864,-0.001948507,-0.001716847,0.001155876,5.022835,791.6653,6.854178,8.702466,0.09128177
50,59373,811.3076,3.940805e-05,-0.0005913384,0.01885162,-0.002680247,-0.0007476194,0.0008170126,4.727814,791.9152,12.96884,1.650214,0.0456057
51,45690,811.2883,3.940712e-05,-0.0006604877,0.0187806,-0.001792794,-0.002138665,0.001344383,5.898177,785.9601,5.802459,13.50407,0.1234832
52,35137,811.0984,3.93979e-05,-0.0006159784,0.01879353,-0.002072128,-0.001932247,0.001487176,5.130022,787.0427,7.751482,11.02312,0.1511075
53,355629,810.0439,3.934667e-05,-0.0006398589,0.01861552,-0.002346849,-0.002709905,0.003154698,5.535498,772.2039,9.943099,21.6814,0.6799501
54,463984,808.3423,3.926402e-05,0.0006677441,-0.01870844,0.002178329,0.002161881,-0.0004927003,6.028487,779.9319,8.566396,13.79885,0.01658545
55,602003,808.2958,3.926176e-05,-0.0007059035,0.01870797,-0.002100076,-0.002139674,0.001653846,6.737191,779.8929,7.961987,13.51682,0.1868751
