Rank,CpG_ID,Relative_importance,Dominant_factor,Dominant_loading,Annotated_genes
1,cg00450381,1,Factor 4,0.01443,EYS
2,cg16767700,0.939,Factor 2,0.0221,CNKSR2
3,cg10252249,0.911,Factor 2,-0.02178,--
4,cg10717149,0.871,Factor 2,0.0214,SLC25A14
5,cg03670113,0.858,Factor 2,0.02123,TAZ; DNASE1L1
6,cg01742836,0.832,Factor 2,0.02081,FHL1
7,cg05476522,0.81,Factor 2,0.02065,FGD1
8,cg20015269,0.8,Factor 2,0.02047,CLCN5
9,cg13130271,0.788,Factor 2,0.02024,PCSK1N
10,cg05257947,0.782,Factor 2,0.02029,MSL3
11,cg03278611,0.782,Factor 2,-0.02033,NLGN4Y
12,cg26505478,0.78,Factor 2,0.02024,CUL4B
13,cg10422744,0.779,Factor 2,-0.02007,--
14,cg18312428,0.776,Factor 2,0.0202,MIR718; IRAK1
15,cg21473514,0.776,Factor 2,0.02023,CXorf39
16,cg23767642,0.767,Factor 2,0.02007,CASK
17,cg13574945,0.767,Factor 2,0.02003,OTUD5
18,cg08059778,0.758,Factor 2,0.01992,BCORL1
19,cg15258447,0.757,Factor 4,0.01647,--
20,cg23696472,0.757,Factor 2,0.0199,TSPYL2
21,cg05806018,0.756,Factor 2,0.01988,AFF2
22,cg02869694,0.755,Factor 2,0.01993,IKBKG; G6PD
23,cg15925199,0.751,Factor 2,0.01973,OTUD5
24,cg27277239,0.745,Factor 2,0.01966,OTUD5
25,cg00723973,0.745,Factor 2,0.01971,RP2
26,cg09229960,0.744,Factor 2,0.01977,EMD
27,cg08969352,0.727,Factor 2,0.01953,FANCB; MOSPD2
28,cg07837161,0.727,Factor 2,0.01961,FAM3A
29,cg14248084,0.727,Factor 2,-0.01954,--
30,cg06136002,0.724,Factor 2,0.01948,HMGB3
31,cg22028367,0.718,Factor 2,-0.01947,FAM197Y2; FAM197Y5; TSPY4
32,cg23712855,0.716,Factor 2,0.01939,DKC1
33,cg12935118,0.708,Factor 2,0.01928,SMARCA1
34,cg02794321,0.703,Factor 2,0.01921,AMMECR1
35,cg03391801,0.703,Factor 2,0.0192,EMD
36,cg07861180,0.702,Factor 2,0.01916,--
37,cg17382258,0.701,Factor 4,0.012070000000000001,--
38,cg20455959,0.7,Factor 2,0.01916,MTMR1
39,cg03834574,0.696,Factor 2,0.01908,KLF8
40,cg10818284,0.696,Factor 2,0.01902,SYP
41,cg12124890,0.69,Factor 2,0.01908,CASK
42,cg24186901,0.688,Factor 2,0.01895,EDA
43,cg21290550,0.683,Factor 2,0.01895,LOC100133957; UXT
44,cg05053121,0.681,Factor 2,-0.01887,TMSB4Y
45,cg11846372,0.68,Factor 2,-0.01886,TXLNGY
46,cg23680829,0.678,Factor 2,0.01896,IKBKG; G6PD
47,cg13023833,0.678,Factor 2,0.01883,ELK1
48,cg24627956,0.677,Factor 2,0.01884,--
49,cg02195366,0.677,Factor 2,0.01885,MSL3
50,cg25205946,0.676,Factor 2,0.01885,WDR45
